,facility_name,address,levels,geometry,objectid
22,Eighth Street Garage,120 S 8TH ST,5,"POLYGON ((-85.7645234189543 38.256580874580024, -85.76458796966372 38.25653483905788, -85.7646973521441 38.25654418295256, -85.7647411517706 38.25655007234918, -85.76483036259273 38.256639315757056, -85.7648110436409 38.25676009788677, -85.76472475007907 38.256810720450765, -85.76453586954001 38.256785191110666, -85.76449622652714 38.256716829483246, -85.7638863739872 38.25666231395816, -85.7637772440552 38.25718890744878, -85.76375805074439 38.25718485125725, -85.76376395748369 38.25720629942044, -85.76369282618042 38.25719861139544, -85.7636863433267 38.257280485897944, -85.76327587639375 38.25723199632005, -85.7633952472342 38.25654168967863, -85.76375372365418 38.256584398634274, -85.76377475433847 38.25648111295702, -85.7644984086838 38.25655967759597, -85.764517826265 38.256574493116645, -85.7645234189543 38.256580874580024))",23
23,Legal Arts Building Garage,710 S MARKET ST,6,"POLYGON ((-85.76267634172424 38.2557636476845, -85.76218670169058 38.25571402728382, -85.76228156852024 38.25515748539467, -85.76277947720111 38.25521130319917, -85.76267634172424 38.2557636476845))",24
24,Advocacy Plaza,701 W JEFFERSON,5,"POLYGON ((-85.76351101955122 38.25468740901808, -85.76342399102914 38.25522663072164, -85.76198501166274 38.25507307693342, -85.7620513428523 38.25471923006836, -85.76277364481143 38.25480027723695, -85.76277878901995 38.25478514330526, -85.76278124905764 38.25477219661132, -85.76278912232846 38.25475703076426, -85.76279945555751 38.25472891479024, -85.76281815506482 38.25470930033721, -85.7628505443497 38.25469166103101, -85.7628750561671 38.25468919448969, -85.762894203868 38.254691095504164, -85.76291885445569 38.254695081138735, -85.76295168767011 38.2546989607724, -85.76296653741562 38.25462558779948, -85.76351101955122 38.25468740901808))",25
25,Market Street Garage,536 W MARKET ST,6,"POLYGON ((-85.76000165547767 38.25546207393527, -85.75903598418061 38.255360480466116, -85.7590921293808 38.255041203178386, -85.76005256221899 38.25515362621393, -85.76000165547767 38.25546207393527))",26
29,Marriott Louisville Garage,280 W JEFFERSON ST,3,"POLYGON ((-85.75528749280798 38.25353885355785, -85.7539714961243 38.25339007739977, -85.75406879525963 38.2528162917443, -85.75538473721122 38.25296291835291, -85.75528749280798 38.25353885355785))",30
30,Commonwealth Garage,COMMONWEALTH,8,"POLYGON ((-85.75592353577242 38.253600209584725, -85.75548700988003 38.25355134922254, -85.75558697729643 38.252975378729616, -85.7560247936144 38.253027847249705, -85.75592353577242 38.253600209584725))",31
31,PNC Plaza,500 W JEFFERSON ST,1,"POLYGON ((-85.75962371534705 38.25400809936559, -85.75879478481251 38.25391681724106, -85.75884172619621 38.25366960705247, -85.75885625174759 38.25358463197049, -85.75889357973286 38.253342643898414, -85.75972643938931 38.253439786025844, -85.7596910392618 38.25361752208093, -85.75967106695865 38.25375394891294, -85.75962371534705 38.25400809936559))",32
36,YMCA Garage,545 S 2ND ST,4,"POLYGON ((-85.75419423260006 38.250066563500056, -85.75359044329532 38.250005301584444, -85.75371904531514 38.24925236531659, -85.75432282846926 38.24931362657228, -85.75419423260006 38.250066563500056))",37
37,Madrid Garage,545 S 3RD ST,3,"POLYGON ((-85.75550644874349 38.249731546275534, -85.7552234770463 38.2496991578494, -85.75529921588188 38.24926625609014, -85.7555837078605 38.2492979312546, -85.75550644874349 38.249731546275534))",38
39,Speed Building Garage,530 S 3RD ST,6,"POLYGON ((-85.75656737989668 38.25045106792209, -85.75604897446065 38.25040566230166, -85.75611163969877 38.25008335683411, -85.75665443059023 38.25014409159423, -85.75661050656093 38.2504071017152, -85.75657464577729 38.25040322505264, -85.75656737989668 38.25045106792209))",40
47,Federal Parking Garage,711 W MAGAZINE ST,5,"POLYGON ((-85.76442094290725 38.24958738418944, -85.76381971204685 38.249525290537704, -85.76390314069657 38.24894895969515, -85.76306962747574 38.248862989492956, -85.76316691604151 38.24829723513538, -85.76462231905697 38.24845578131631, -85.76442094290725 38.24958738418944))",48
49,Chestnut Centre Garage,420 W CHESTNUT ST,3,"POLYGON ((-85.75884531371852 38.24898215843661, -85.7586950351752 38.24896797179849, -85.75876983486805 38.24858875408387, -85.75860886947193 38.24856616418176, -85.75863826323517 38.24841299332169, -85.75895407896421 38.248448622348505, -85.75884531371852 38.24898215843661))",50
50,Theater Square Garage,658 S 3RD ST,5,"POLYGON ((-85.75788904331161 38.246801696904, -85.75784780864306 38.24711404590358, -85.75761541652479 38.247084790013936, -85.75760301323555 38.24714408645664, -85.75663310756465 38.24705445873199, -85.75667993612313 38.24668289830747, -85.75788904331161 38.246801696904))",51
57,Jefferson Educational Center,200 W BROADAY,4,"POLYGON ((-85.7557678537232 38.24543284705694, -85.75524524659592 38.24537660654782, -85.75530856591097 38.245009235192086, -85.75583092642957 38.245076381674835, -85.7557678537232 38.24543284705694))",58
60,Bank of Louisville Building,500 W BROADWAY,5,"POLYGON ((-85.76026622590118 38.24556369910461, -85.76078282721478 38.24560069131076, -85.76072108503976 38.24597644947418, -85.76020340125874 38.24593127989169, -85.76026622590118 38.24556369910461))",61
65,Seelbach Garage,523 S 5TH ST,6,"POLYGON ((-85.75913422928556 38.250796278553736, -85.75852764468029 38.25072692142123, -85.7586861972112 38.24979152130556, -85.75930167006796 38.24986076608929, -85.75913422928556 38.250796278553736))",66
66,The Kentucky Center Garage,121 N 6TH ST,2,"POLYGON ((-85.75949574522608 38.257756833361846, -85.75830275249528 38.25763526976274, -85.75842192356463 38.25697705936556, -85.75960987941177 38.25710271358942, -85.75949574522608 38.257756833361846))",67
67,Riverfront Garage,141 N 6TH ST,3,"POLYGON ((-85.75934181713704 38.258659502400604, -85.75794814929193 38.25869309925679, -85.75650052262772 38.258509045780656, -85.75662114333917 38.257649774113375, -85.75946483066663 38.257917157617975, -85.75934181713704 38.258659502400604))",68
68,Muhammad Ali Center Garage,140 N 6TH ST,4,"POLYGON ((-85.76034990873693 38.2586308753494, -85.75964732271906 38.25860876974426, -85.7598068018767 38.25771780356777, -85.76049122669846 38.25781811594672, -85.76034990873693 38.2586308753494))",69
69,Galleria Garage (4th Street Live),425 S 5TH ST,9,"POLYGON ((-85.7588168985394 38.252545009551426, -85.75797671701994 38.25245174561068, -85.75802963124855 38.252128335994946, -85.75887454052528 38.25222428480577, -85.7588168985394 38.252545009551426))",70
70,The Gardens Garage,415 S 6TH ST,9,"POLYGON ((-85.76044421661325 38.252604694651666, -85.76043347370054 38.25264600517983, -85.76044835180062 38.25266411048967, -85.76046318236793 38.25267993005523, -85.76046922181123 38.25269128716667, -85.76047530451602 38.25270493350847, -85.76047844530308 38.25271632810755, -85.76045848125527 38.252872116946016, -85.76040376528044 38.252891122285064, -85.76039207118284 38.2528867008019, -85.76038389395963 38.25291196677785, -85.76034976261433 38.252944427461486, -85.76032104822116 38.25295852379571, -85.76030959186681 38.25296553444797, -85.75992886227351 38.25292928563548, -85.75989382750429 38.25291830335031, -85.75986739798806 38.25290263366221, -85.75985256750504 38.252886814021394, -85.75984662318379 38.25288002836334, -85.7597716076629 38.25289929582529, -85.75977351243488 38.25285124054407, -85.75979076615434 38.25284415500201, -85.75979342715249 38.25283268538587, -85.7598253730473 38.2528345587711, -85.75983297999649 38.252781853627106, -85.75979509416942 38.252773194526945, -85.75983369505946 38.252537111503244, -85.76044421661325 38.252604694651666))",71
71,Fifth Street Garage,627 S 5TH ST,5,"POLYGON ((-85.75877848313581 38.24840343023465, -85.75810818154957 38.24834385780529, -85.75824195423779 38.247564339624475, -85.75890109802346 38.24764224666881, -85.75877848313581 38.24840343023465))",72
73,Starks Parking Center,430 S 3RD ST,4,"POLYGON ((-85.75639687202145 38.252412667395284, -85.75570837726826 38.252335666544106, -85.75585445496506 38.25151161868828, -85.756439793918 38.25157613837108, -85.75652481115375 38.25166254805886, -85.75639687202145 38.252412667395284))",74
75,Aegon Center Garage,424 W MARKET ST,6,"POLYGON ((-85.75757737619944 38.25403579455405, -85.75800412181539 38.25407825766528, -85.7578946598958 38.254666416410295, -85.7579932144569 38.25467990573643, -85.75788743458355 38.25522004118158, -85.75743713451095 38.2551705006943, -85.75751107408664 38.254750693612, -85.75744858433937 38.25474115663572, -85.75757737619944 38.25403579455405))",76
76,Waterfront Plaza Garage,141 N 4TH ST,1,"POLYGON ((-85.75636620920471 38.25672641585096, -85.75634344240316 38.2570378424936, -85.75628342605248 38.257393217698976, -85.75483578137778 38.257227620397344, -85.75494550515567 38.25657571840097, -85.755492151275 38.25662628908059, -85.75547952994152 38.25672248207145, -85.75587999460261 38.25677109700527, -85.75590227685662 38.256670937919054, -85.75636620920471 38.25672641585096))",77
77,Galt House Hotel Garage,141 N 4TH ST,2,"POLYGON ((-85.75628342605248 38.257393217698976, -85.75613085034162 38.25829664044584, -85.75611016073454 38.25847359845363, -85.75590050512794 38.2584647772168, -85.75577323964116 38.2584356894896, -85.7557195074799 38.25842869920085, -85.75559280385545 38.25842649443984, -85.75574134885288 38.257602570114344, -85.75478936045846 38.25750344602091, -85.75483578137778 38.257227620397344, -85.75628342605248 38.257393217698976))",78
87,JPMorgan Chase Garage,416 W JEFFERSON ST,1,"POLYGON ((-85.75807979754725 38.253257769557926, -85.75801935094975 38.25359522111782, -85.75799323761672 38.25359057704891, -85.7575813680146 38.25354524420002, -85.75764748019353 38.25320504890767, -85.75804935140611 38.25325432806046, -85.75807979754725 38.253257769557926))",88
